,PRICE , TIME 
852,2555.8,10:33:16
853,2555.8,10:33:21
854,2555.8,10:33:27
855,2555.8,10:33:32
856,2555.8,10:33:37
857,2555.8,10:33:42
858,2555.8,10:33:47
859,2555.8,10:33:53
860,2555.8,10:33:58
861,2555.8,10:34:03
862,2555.8,10:34:08
863,2555.8,10:34:13
864,2557.95,10:34:19
865,2557.95,10:34:24
866,2557.95,10:34:29
867,2557.95,10:34:34
868,2557.95,10:34:39
869,2557.95,10:34:45
870,2557.95,10:34:50
871,2557.95,10:34:55
872,2557.95,10:35:00
873,2557.95,10:35:05
874,2557.95,10:35:11
875,2557.95,10:35:16
876,2557.95,10:35:21
877,2557.95,10:35:26
878,2557.95,10:35:31
879,2557.95,10:35:36
880,2557.95,10:35:42
881,2557.95,10:35:47
882,2557.95,10:35:52
883,2557.95,10:35:57
884,2557.95,10:36:02
885,2557.95,10:36:08
886,2557.5,10:36:13
887,2557.5,10:36:18
888,2557.5,10:36:23
889,2557.5,10:36:28
890,2557.5,10:36:33
891,2557.5,10:36:39
892,2557.5,10:36:44
893,2557.5,10:36:49
894,2557.5,10:36:54
895,2557.5,10:36:59
896,2557.5,10:37:05
897,2557.5,10:37:10
898,2557.5,10:37:15
899,2557.5,10:37:20
900,2557.5,10:37:25
901,2557.5,10:37:30
902,2557.5,10:37:36
903,2557.5,10:37:41
904,2557.5,10:37:46
905,2557.5,10:37:51
906,2557.5,10:37:56
907,2557.0,10:38:02
908,2557.5,10:38:07
909,2557.0,10:38:12
910,2557.0,10:38:17
911,2557.0,10:38:22
912,2557.0,10:38:27
913,2557.0,10:38:33
914,2557.0,10:38:38
915,2557.0,10:38:43
916,2557.0,10:38:48
917,2557.0,10:38:53
918,2557.0,10:38:59
919,2557.0,10:39:04
920,2557.0,10:39:09
921,2557.0,10:39:14
922,2557.0,10:39:19
923,2557.0,10:39:25
924,2557.0,10:39:30
925,2557.0,10:39:35
926,2557.0,10:39:40
927,2557.0,10:39:45
928,2557.0,10:39:51
929,2557.2,10:39:56
930,2557.2,10:40:01
931,2557.2,10:40:06
932,2557.2,10:40:11
933,2557.2,10:40:16
934,2557.2,10:40:22
935,2557.2,10:40:27
936,2557.2,10:40:32
937,2557.2,10:40:37
938,2557.2,10:40:42
939,2557.2,10:40:48
940,2557.2,10:40:53
941,2557.2,10:40:58
942,2557.2,10:41:03
943,2557.2,10:41:08
944,2557.2,10:41:14
945,2557.2,10:41:19
946,2557.2,10:41:24
947,2557.2,10:41:29
948,2557.2,10:41:35
949,2557.2,10:41:40
950,2561.35,10:41:45
951,2561.35,10:41:50
952,2561.35,10:41:55
953,2561.35,10:42:00
954,2561.35,10:42:06
955,2561.35,10:42:11
956,2561.35,10:42:16
957,2561.35,10:42:21
958,2561.35,10:42:26
959,2561.35,10:42:32
960,2561.35,10:42:37
961,2561.35,10:42:42
962,2561.35,10:42:47
963,2561.35,10:42:52
964,2561.35,10:42:57
965,2561.35,10:43:03
966,2561.35,10:43:08
967,2561.35,10:43:13
968,2561.35,10:43:18
969,2561.35,10:43:23
970,2561.35,10:43:29
971,2559.95,10:43:34
972,2559.95,10:43:39
973,2559.95,10:43:44
974,2559.95,10:43:49
975,2559.95,10:43:55
976,2559.95,10:44:00
977,2559.95,10:44:05
978,2559.95,10:44:10
979,2559.95,10:44:15
980,2559.95,10:44:21
981,2559.95,10:44:26
982,2559.95,10:44:31
983,2559.95,10:44:36
984,2559.95,10:44:41
985,2559.95,10:44:47
986,2559.95,10:44:52
987,2559.95,10:44:57
988,2559.95,10:45:02
989,2559.95,10:45:07
990,2559.95,10:45:13
991,2559.95,10:45:18
992,2559.95,10:45:23
993,2559.95,10:45:28
994,2557.45,10:45:33
995,2557.45,10:45:38
996,2557.45,10:45:44
997,2557.45,10:45:49
998,2557.45,10:45:54
